Date collected,Treatment,Bag #,Broodstock,Silo Number, Vol. for count (mL) ,Total Vol (mL),Count A LIVE,Count A DEAD,Count B LIVE,Count B DEAD,Count C LIVE,Count C DEAD,Total A,Total B,Total C, Mean Larvae / mL , # Larvae Collected , Volume needed for 800 larvae ,# Larvae actually stocked, Approx. larvae sampled , Larvae sample Number (in -80) , # Samples Preserved ,Notes
4/3/18,A1,1 or 15,37,A1-3,0.25,840,55,0,4,1,47,1,55,5,48,144,"120,960",5.56,815,"118,560",23,,
4/3/18,D1,3 or 4,40,NA,0.5,470,29,5,25,10,24,14,34,35,38,71,"33,527",11.21,,"31,127",24,,
4/3/18,A1,5 or 16,39,NA,0.25,880,62,32,66,38,64,44,94,104,108,408,"359,040",1.96,,"356,640",25,,
4/3/18,D2,2 or 8,35,NA,0.5,520,30,17,23,14,28,9,47,37,37,81,"41,947",9.92,,"39,547",26,,
4/3/18,D2,6 or 7,37,D2-2,0.2,840,76,3,116,10,102,11,79,126,113,530,"445,200",1.51,864,"442,800",27,,
4/3/18,A2,24 or 26,32,NA,0.3,840,54,45,37,58,54,39,99,95,93,319,"267,867",2.51,,"265,467",28,,
4/4/18,C1,31 or 32,29,NA,0.4,540,37,2,46,1,64,2,39,47,66,127,"68,400",6.32,,"66,000",29,,
4/4/18,D2,6 or 7,37,NA,0.4,540,59,0,55,1,58,1,59,56,59,145,"78,300",5.52,,"75,900",30,,
4/4/18,A2,23 or 25,33,NA,0.2,925,151,3,152,0,151,0,154,152,151,762,"704,542",1.05,,"702,142",31,,
4/4/18,A1,5 or 16,36,NA,0.25,560,87,0,93,0,90,1,87,93,91,361,"202,347",2.21,,"199,947",32,,
4/4/18,C2,19 or 21,23,NA,0.25,725,71,0,64,1,58,2,71,65,60,261,"189,467",3.06,,"187,067",33,,
4/4/18,D1,3 or 4,40,NA,0.25,850,58,1,61,2,59,2,59,63,61,244,"207,400",3.28,,"205,000",34,,
4/4/18,B2,9 or 10,40,NA,0.2,940,112,8,105,5,123,11,120,110,134,607,"570,267",1.32,,"567,867",35,,Accidentally overstocked silo due to erroneous live/dead count. Dumped silo and replaced B2-4 on 4/5 with different spawning bucket  
4/4/18,A1,1 or 15,37,NA,0.15,850,106,1,114,2,117,0,107,116,117,756,"642,222",1.06,,"639,822",36,,
4/4/18,C2,20 or 22,23,C2-2,0.4,740,92,1,105,2,109,1,93,107,110,258,"191,167",3.1,951,"188,767",37,,
4/5/18,C1,31 or 32,29,C1-1,0.25,920,168,,160,,147,,,,,633,"582,667",1.26,,"580,267",38,,
4/5/18,B1,17 or 28,35,NA,0.3,645,197,,218,,161,,,,,640,"412,800",1.25,,"410,400",39,,
4/5/18,D2,6 or 7,37,NA,0.25,900,123,,125,,110,,,,,477,"429,600",1.68,,"427,200",40,,
4/5/18,D1,3 or 4,40,NA,0.5,500,139,,146,,123,,,,,272,"136,000",2.94,,"133,600",41,,
4/5/18,B2,11 or 13,40,NA,0.3,735,100,,94,,91,,,,,317,"232,750",2.53,,"230,350",42,,
4/5/18,D1,12 or 14,34,D1-3,0.3,865,108,,113,,121,,,,,380,"328,700",2.11,,"326,300",43,,
4/6/18,D1,12 or 14,34,NA,0.5,495,87,3,59,0,58,0,90,59,58,136,"67,320",5.88,,"64,920",44,,
4/6/18,B2,11 or 13,40,NA,0.4,530,111,0,104,0,109,0,111,104,109,270,"143,100",2.96,,"140,700",45,,
4/6/18,D1,3 or 4,40,NA,0.7,370,24,1,17,0,31,1,25,17,32,34,"12,686",23.33,,"10,286",46,,
4/6/18,A1,5 or 16,36,NA,0.25,750,113,0,111,0,87,0,113,111,87,415,"311,000",1.93,800,"308,600",47,,
